,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,e_score,s_score,g_score,esg_score,Industry,Company,Year
49,"../data/processed/Auto Manufacturers - Major-NIO-2023 Environmental, Social and Governance Report.txt",0.9631301330565848,-0.2,-0.389347354043621,-0.2,0.7257467994310098,0.9999979275534882,-0.2,0.9971892332436109,-0.2,-0.2,0.7491408934707905,0.962187711006077,-0.2,-0.0070692003372461384,-0.2,0.033956153155319885,-0.7963946666666666,1.0,0.9740740740740741,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,-0.2,1.0,-0.2,-0.2,30.79,53.58,68.63,46.7,Auto Manufacturers - Major,NIO,2023
50,../data/processed/Auto Parts-Haldex-2022 Responsibility Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,0.9427669597863187,1.0,-0.2,-0.2,-0.2,-0.2,0.9284267386900743,-0.2,-0.2,-0.2,0.6462921125492616,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,0.0,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,73.77,42.28,62.9,65.36,Auto Parts,Haldex,2022
51,../data/processed/Auto Parts-Goodyear Tire & Rubber Co-2023 Corporate Responsibility Report.txt,0.45141521651667627,-0.2,0.26992002204298665,-0.2,-0.2,0.9999569014703581,-0.2,0.9542882802230664,-0.2,-0.2,0.34020618556701043,-0.62457798784605,0.35195530726256974,-0.2,-0.2,-0.34134653163451717,-0.2,-0.2,-1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,-0.2,1.0,1.0,-0.2,1.0,70.29,75.76,65.18,72.56,Auto Parts,Goodyear Tire & Rubber Co,2023
52,../data/processed/Auto Parts-PHINIA-2023 Sustainability Report.txt,0.9570561105310341,-0.2,-0.2,-0.2,-0.2,0.9999987926854348,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.9776536312849163,-0.6395356378494067,-0.2,0.7882749656531025,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,1.0,-0.2,47.8,65.85,46.97,51.92,Auto Parts,PHINIA,2023
53,../data/processed/Auto Parts-Gestamp-2023 Responsibility Report.txt,0.7810209428158746,-0.2,0.9484565558337412,-0.2,-0.2,0.9998416765926081,-0.2,0.9894249698440863,0.9591836734693877,-0.2,0.6082474226804124,-0.1087103308575287,-0.2,-0.3282314028147092,-0.2,0.11817978197876929,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,55.99,71.9,67.2,64.49,Auto Parts,Gestamp,2023
54,../data/processed/Auto Parts-Gentherm Inc-2023 Sustainability Report.txt,0.9913007698330849,-0.2,0.9949388562044796,-0.2,1.0,0.9999995007559882,-0.2,-1.0,-0.22448979591836732,-0.2,-0.2,-0.2,-0.2,-0.01692716778001181,-0.2,0.682544721512357,-0.2,-0.2,-0.2,-0.2,-0.2,0.5122930152600611,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,1.0,60.2,43.73,57.38,56.54,Auto Parts,Gentherm Inc,2023
55,../data/processed/Auto Manufacturers - Major-Audi AG-2023 Responsibility Report.txt,0.6005241339313923,-0.2,0.9154449257769126,0.7545340057254702,-0.2,0.9999907260005476,0.4167629223216866,0.9708306285496296,-0.2,-0.2,0.9999999999999998,0.2559081701553005,-0.2,-0.6810428691873662,-0.2,-0.10615528148583214,-0.2,0.9859154929577465,0.9714814814814817,-0.2,-0.2,-0.2,-0.2,-1.0,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,1.0,-0.2,1.0,1.0,93.58,89.53,62.98,87.92,Auto Manufacturers - Major,Audi AG,2023
56,../data/processed/Auto Parts-Modine Manufacturing Co-2023 Sustainability Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20025529675111942,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,1.0,1.0,-0.2,1.0,-0.2,49.33,45.91,54.29,50.18,Auto Parts,Modine Manufacturing Co,2023
57,../data/processed/Auto Parts-Gentex Corporation-2023 Sustainability Report.txt,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,0.33204081632653054,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,1.0,1.0,-0.2,-0.2,-0.2,41.53,45.9,54.29,45.94,Auto Parts,Gentex Corporation,2023
58,"../data/processed/Auto Parts-Magna International, Inc-2023 Sustainability Report.txt",0.364397254612132,-0.2,0.8068479217383062,-0.2,-0.2,0.9991117356876348,-0.2,0.7416829615988365,0.9224489795918369,-0.2,-0.2,-0.2,0.8621973929236498,-0.2,-0.2,0.5257766827530269,-0.2,-0.2,-0.2,-0.2,0.9986364394937013,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,-0.2,57.56,52.37,50.56,55.03,Auto Parts,"Magna International, Inc",2023
59,../data/processed/Auto Parts-CIE Automotive-2023 Annual Corporate Governance Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.8015974075269432,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,46.22,48.75,59.87,51.02,Auto Parts,CIE Automotive,2023
